project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	7e75b9c7-7547-40dc-a059-b46bb0b2473a	TCGA-BG-A0MH-01A-11W	d4b2f052-4a81-48d1-8aa9-5483871ab877	TCGA-BG-A0MH-01A-11W-A12V-09	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	810dcff2-4428-4ba7-a1b0-3c12f9442956	TCGA-BG-A0MH-01A-11R	c65e6756-43d9-4b30-8391-a2460ed75470	TCGA-BG-A0MH-01A-11R-A119-13	2.6	20.0	'--	'--	'--	0.13	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	810dcff2-4428-4ba7-a1b0-3c12f9442956	TCGA-BG-A0MH-01A-11R	f73e7e5b-239b-4ac9-861e-c8f42e68188e	TCGA-BG-A0MH-01A-11R-A118-07	3.47	26.7	'--	'--	'--	0.13	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	8a717ca9-ec98-40d6-a079-c02e9adcd3c7	TCGA-BG-A0MH-01A-11D	5deecafe-e762-48e8-8717-775f080b6851	TCGA-BG-A0MH-01A-11D-A121-02	2.21	13.0	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	8a717ca9-ec98-40d6-a079-c02e9adcd3c7	TCGA-BG-A0MH-01A-11D	6c950711-82b1-4068-ac06-4fe3ac2ef9c9	TCGA-BG-A0MH-01A-11D-A120-01	1.13	6.67	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	8a717ca9-ec98-40d6-a079-c02e9adcd3c7	TCGA-BG-A0MH-01A-11D	cd4e2bba-a2e8-497a-9e00-c5ba93040e52	TCGA-BG-A0MH-01A-01D-YYYY-23	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	8a717ca9-ec98-40d6-a079-c02e9adcd3c7	TCGA-BG-A0MH-01A-11D	e2a0e977-5ec1-4158-b1bb-c0813ef635d5	TCGA-BG-A0MH-01A-11D-A123-05	4.54	26.7	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d51efcd6-2f8a-417e-ac86-1907f5f14f45	TCGA-BG-A0MH-01A-11	8a717ca9-ec98-40d6-a079-c02e9adcd3c7	TCGA-BG-A0MH-01A-11D	f10d1372-6357-417c-9733-cd00b8bb52a8	TCGA-BG-A0MH-01A-11D-A122-09	3.2	40.0	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	8ad77275-6034-4d01-832f-d8bf3668e6bb	TCGA-BG-A0MH-01A	d820b024-6b3b-4b5b-866e-f9a8139c270b	TCGA-BG-A0MH-01A-41-A645-42	29b89650-c45a-4771-b0af-b06ff8425374	TCGA-BG-A0MH-01A-41-A645-42-X039-S09	34613a6a-baf2-4a57-94d2-c1422064777a	TCGA-BG-A0MH-01A-41-A645-42-X039-S09_aliquot	'--	'--	'--	DNA	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	released
TCGA-UCEC	bfac45a6-fa01-4edb-9807-6898ea82e80e	TCGA-BG-A0MH	9ab847bd-b108-4323-9e75-8698ea694018	TCGA-BG-A0MH-10A	69aa1fff-a439-4e55-b7e3-a2430eabc791	TCGA-BG-A0MH-10A-02	60d81555-30a8-42c6-baae-848ef1d949f2	TCGA-BG-A0MH-10A-02D	056de95f-4d4e-4053-a10a-6e1ef6aa3b07	TCGA-BG-A0MH-10A-02D-A122-09	3.2	40.0	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
