project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	43dadebb-5cfe-4baf-83eb-563a87f1c815	TCGA-LN-A4A9-10A-01D	67c848f4-5f87-47e7-8317-358e04e2b109	TCGA-LN-A4A9-10A-01D-A88W-36	7.5	50.0	'--	'--	'--	0.15	false	false	false	false	false	false	false	false	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	43dadebb-5cfe-4baf-83eb-563a87f1c815	TCGA-LN-A4A9-10A-01D	c175535d-6925-4bc5-8f42-8d28b7827fec	TCGA-LN-A4A9-10A-01D-A28D-01	1.01	6.7	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	43dadebb-5cfe-4baf-83eb-563a87f1c815	TCGA-LN-A4A9-10A-01D	ea1b57ff-0f6b-4d15-bff4-aa31ed6452cd	TCGA-LN-A4A9-10A-01D-A28E-09	2.8	40.0	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	43dadebb-5cfe-4baf-83eb-563a87f1c815	TCGA-LN-A4A9-10A-01D	fb4ae518-6d8a-4d59-904b-0634c90d4bd9	TCGA-LN-A4A9-10A-01D-A28P-26	1.5	10.0	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	f4cd27bd-cdb0-476d-892f-49ef8fe93454	TCGA-LN-A4A9-10A-01W	df6692ad-c76f-42bc-a064-b3a8d0bd20fd	TCGA-LN-A4A9-10A-01W-A30S-09	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	0f52fa3e-f767-4bdb-8b92-ef1748370fc6	TCGA-LN-A4A9-01A-11R	0872b8ee-b850-4e57-af28-7b3ac6b4918b	TCGA-LN-A4A9-01A-11R-A28K-13	0.0	0.0	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	0f52fa3e-f767-4bdb-8b92-ef1748370fc6	TCGA-LN-A4A9-01A-11R	27e10efe-b0fb-44fd-854e-1108699903a8	TCGA-LN-A4A9-01A-11R-A28J-31	3.2	20.0	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	434a9cbd-63d0-47d9-a44f-964c83582f2f	TCGA-LN-A4A9-01A-11D	31205e84-cecd-4824-b255-d891b96578f0	TCGA-LN-A4A9-01A-11D-A28P-26	1.7	10.0	'--	'--	'--	0.17	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	434a9cbd-63d0-47d9-a44f-964c83582f2f	TCGA-LN-A4A9-01A-11D	3312754b-57aa-47bc-80a3-611d5a6a0822	TCGA-LN-A4A9-01A-11D-A28B-09	3.6	40.0	'--	'--	'--	0.09	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	434a9cbd-63d0-47d9-a44f-964c83582f2f	TCGA-LN-A4A9-01A-11D	47c9c420-aa40-4c00-aa5a-7758c826bb67	TCGA-LN-A4A9-01A-11D-A88W-36	8.5	50.0	'--	'--	'--	0.17	false	false	false	false	false	false	false	false	23	released
