project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	43dadebb-5cfe-4baf-83eb-563a87f1c815	TCGA-LN-A4A9-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	ebf15ee7-8abf-45ef-9825-c8f180d38982	TCGA-LN-A4A9-10A	e1341d91-c917-46c3-9953-2731fa340eef	TCGA-LN-A4A9-10A-01	f4cd27bd-cdb0-476d-892f-49ef8fe93454	TCGA-LN-A4A9-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	0f52fa3e-f767-4bdb-8b92-ef1748370fc6	TCGA-LN-A4A9-01A-11R	1.92	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.1	7.4	UV Spec	released	'--
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	434a9cbd-63d0-47d9-a44f-964c83582f2f	TCGA-LN-A4A9-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-ESCA	c965a778-8696-47db-a7c7-8b9f75417cbd	TCGA-LN-A4A9	f3ce7acd-a711-42c0-9307-325949c428a3	TCGA-LN-A4A9-01A	a8f0c219-a7e9-446e-91b2-96ef5a0425fb	TCGA-LN-A4A9-01A-11	e2dba3d1-443b-4544-9a84-b0c05eaa6cb1	TCGA-LN-A4A9-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-ESCA	ceaf98f8-517e-457a-bf29-acfe22893d49	TCGA-2H-A9GI	0934d8af-67fb-4917-a687-6afd8948b7d9	TCGA-2H-A9GI-01A	8a178e56-f549-4724-8850-8d2280272e29	TCGA-2H-A9GI-01A-11	a3a1a7ad-688c-48d4-a9a7-da872e197cce	TCGA-2H-A9GI-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-ESCA	ceaf98f8-517e-457a-bf29-acfe22893d49	TCGA-2H-A9GI	0934d8af-67fb-4917-a687-6afd8948b7d9	TCGA-2H-A9GI-01A	8a178e56-f549-4724-8850-8d2280272e29	TCGA-2H-A9GI-01A-11	c1892306-f791-4537-9d1d-29dff4ff4bd4	TCGA-2H-A9GI-01A-11R	2.08	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.37	7.5	UV Spec	released	'--
TCGA-ESCA	ceaf98f8-517e-457a-bf29-acfe22893d49	TCGA-2H-A9GI	0934d8af-67fb-4917-a687-6afd8948b7d9	TCGA-2H-A9GI-01A	8a178e56-f549-4724-8850-8d2280272e29	TCGA-2H-A9GI-01A-11	e77e622a-dc41-419d-8123-4edfaebc96a3	TCGA-2H-A9GI-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-ESCA	ceaf98f8-517e-457a-bf29-acfe22893d49	TCGA-2H-A9GI	0d74c086-8e46-47cf-88ac-2ff68ab51606	TCGA-2H-A9GI-11A	914daeb5-d4d7-4b21-af5a-f9ff4dbcaacb	TCGA-2H-A9GI-11A-11	62fd867e-bfde-4fbf-bd20-13d9bca155e6	TCGA-2H-A9GI-11A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-ESCA	ceaf98f8-517e-457a-bf29-acfe22893d49	TCGA-2H-A9GI	0d74c086-8e46-47cf-88ac-2ff68ab51606	TCGA-2H-A9GI-11A	914daeb5-d4d7-4b21-af5a-f9ff4dbcaacb	TCGA-2H-A9GI-11A-11	c8b79d88-0147-4fd5-982b-7360cb6daea1	TCGA-2H-A9GI-11A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-ESCA	59dd907e-c674-46c2-bce7-63517d5ae7a7	TCGA-XP-A8T7	7d06f159-340c-42e6-b702-d7c83e069ac3	TCGA-XP-A8T7-01A	f1b0bf8f-054a-4715-a410-7b9342a13f8c	TCGA-XP-A8T7-01A-11	49c60e2f-3a9a-417d-aa64-59a7bd91111c	TCGA-XP-A8T7-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-ESCA	59dd907e-c674-46c2-bce7-63517d5ae7a7	TCGA-XP-A8T7	7d06f159-340c-42e6-b702-d7c83e069ac3	TCGA-XP-A8T7-01A	f1b0bf8f-054a-4715-a410-7b9342a13f8c	TCGA-XP-A8T7-01A-11	56df39aa-e50c-4cb4-901d-91eddab52977	TCGA-XP-A8T7-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
